pulseheight,counts_ch_A,counts_ch_B
0.6109481915933529,0,0
1.8328445747800588,0,0
3.0547409579667644,30,0
4.276637341153471,284,0
5.4985337243401755,300,0
6.720430107526882,274,0
7.9423264907135875,321,0
9.164222873900293,380,0
10.386119257087,853,0
11.608015640273706,1429,0
12.82991202346041,1613,0
14.051808406647117,1812,0
15.273704789833822,1919,0
16.49560117302053,1994,0
17.717497556207235,1869,0
18.939393939393938,1879,0
20.161290322580648,1908,0
21.38318670576735,1801,0
22.605083088954057,1843,0
23.826979472140764,1915,0
25.048875855327466,2023,0
26.270772238514176,2082,0
27.49266862170088,2083,0
28.71456500488759,2800,0
29.936461388074292,3904,0
31.158357771260995,3120,0
32.380254154447705,2320,0
33.60215053763441,2661,0
34.82404692082112,2676,0
36.04594330400782,2359,0
37.267839687194524,2003,0
38.489736070381234,2091,0
39.71163245356794,2227,0
40.93352883675465,2262,0
42.15542521994135,2335,0
43.37732160312805,2322,0
44.59921798631476,2336,0
45.821114369501466,2344,0
47.043010752688176,2220,0
48.26490713587488,2342,0
49.48680351906158,2321,0
50.70869990224829,2351,0
51.930596285434994,2330,0
53.152492668621704,2483,0
54.37438905180841,2401,0
55.59628543499511,2462,0
56.81818181818182,2531,0
58.04007820136853,2470,0
59.26197458455523,2460,0
60.483870967741936,2414,0
61.70576735092864,2287,0
62.92766373411535,2194,0
64.14956011730206,2193,0
65.37145650048876,2066,0
66.59335288367546,2067,0
67.81524926686217,2099,0
69.03714565004887,2785,0
70.25904203323559,3358,0
71.48093841642229,2270,0
72.702834799609,2030,0
73.9247311827957,1930,0
75.14662756598241,1865,0
76.36852394916912,1722,0
77.59042033235582,1715,0
78.81231671554252,1699,0
80.03421309872923,1633,0
81.25610948191593,1543,0
82.47800586510265,1494,0
83.69990224828935,1506,0
84.92179863147605,1443,0
86.14369501466275,1298,0
87.36559139784947,1394,0
88.58748778103617,1594,0
89.80938416422288,3154,0
91.03128054740958,2548,0
92.25317693059628,1373,0
93.47507331378299,1147,0
94.6969696969697,1146,0
95.9188660801564,1160,0
97.14076246334311,1204,0
